[24/02/2023 02:54:07] Shikaz [60000] criou um [E]Uchiha ForeHead.
[24/02/2023 03:01:49] Shikaz [60000] criou um [E]Uchiha ForeHead.
[24/02/2023 03:04:34] Shikaz [60000] criou um [E]Uchiha ForeHead.
[24/02/2023 03:09:50] Shikaz [60000] criou um [L]Uchiha ForeHead.
[24/02/2023 03:10:29] Shikaz [60000] criou um [E]Uchiha ForeHead.
[24/02/2023 03:39:32] Shikaz [60000] criou um [L]Uchiha ForeHead.
[24/02/2023 03:39:54] Shikaz [60000] criou um [E]Uchiha ForeHead.
[24/02/2023 04:00:19] Shikaz [60000] criou um [E]Uchiha ForeHead.
[24/02/2023 04:09:51] Shikaz [60000] criou um [L]Uchiha ForeHead.
[24/02/2023 04:19:59] Shikaz [60000] criou um [E]Uchiha ForeHead.
[24/02/2023 04:24:44] Shikaz [60000] criou um [E]Uchiha ForeHead.
[24/02/2023 04:38:30] Shikaz [60000] criou um [L]Uchiha ForeHead.
[24/02/2023 04:48:09] Shikaz [60000] criou um [E]Uchiha ForeHead.
[24/02/2023 04:51:56] Shikaz [60000] criou um [E]Uchiha ForeHead.
[24/02/2023 05:08:08] Shikaz [60000] criou um [L]Uchiha ForeHead.
[24/02/2023 05:29:25] Shikaz [60000] criou um [E]Uchiha ForeHead.
[24/02/2023 05:30:24] Shikaz [60000] criou um [E]Uchiha ForeHead.
[24/02/2023 05:31:52] Shikaz [60000] criou um [L]Uchiha ForeHead.
[24/02/2023 05:32:17] Shikaz [60000] criou um [E]Uchiha ForeHead.
[24/02/2023 05:45:21] Shikaz [60000] criou um [E]Uchiha ForeHead.
[24/02/2023 05:59:04] Shikaz [60000] criou um [E]Uchiha ForeHead.
[24/02/2023 05:59:25] Shikaz [60000] criou um [L]Uchiha ForeHead.
[24/02/2023 06:04:17] Shikaz [60000] criou um [E]Uchiha ForeHead.
[24/02/2023 06:07:20] Shikaz [60000] criou um [E]Uchiha ForeHead.
[24/02/2023 06:08:05] Shikaz [60000] criou um [L]Uchiha ForeHead.
[24/02/2023 06:14:26] Shikaz [60000] criou um [E]Uchiha ForeHead.
[24/02/2023 06:15:05] Shikaz [60000] criou um [E]Uchiha ForeHead.
[24/02/2023 06:17:26] Shikaz [60000] criou um [L]Uchiha ForeHead.
[24/02/2023 06:22:32] Shikaz [60000] criou um [E]Uchiha ForeHead.
[25/02/2023 04:00:28] Shikaz [500] criou um [E]Uchiha ForeHead.
[25/02/2023 04:01:37] Shikaz [500] criou um [L]Uchiha ForeHead.
[25/02/2023 04:06:48] Shikaz [500] criou um [E]Uchiha ForeHead.
[25/02/2023 04:08:18] Shikaz [500] criou um [E]Uchiha ForeHead.
[25/02/2023 20:58:07] Shikaz [500] criou um [E]Uchiha ForeHead.
[27/02/2023 06:00:23] Narutu Uzucracke [460] criou um [R]Yondaime Tunic.
[28/02/2023 07:17:44] [ADM] Dan [500] criou um [E]Uchiha ForeHead.
[28/02/2023 07:38:32] [ADM] Dan [500] criou um [L]Uchiha ForeHead.
[02/03/2023 05:59:15] [ADM] Dan [501] criou um [L]Uchiha Boots.
[02/03/2023 06:01:27] [ADM] Dan [501] criou um [L]Uchiha Boots.
[02/03/2023 06:10:04] [ADM] Dan [501] criou um [L]Uchiha Boots.
[02/03/2023 06:10:44] [ADM] Dan [501] criou um [L]Uchiha Boots.
[02/03/2023 06:11:04] [ADM] Dan [501] criou um [L]Uchiha Boots.
[02/03/2023 06:37:33] [ADM] Dan [501] criou um [L]Uchiha Boots.
[02/03/2023 06:39:55] [ADM] Dan [501] criou um [L]Uchiha Boots.
[02/03/2023 06:41:44] [ADM] Dan [501] criou um [R]Hokage Hat.
[02/03/2023 06:45:33] [ADM] Dan [501] criou um [E]Hokage Hat.
[02/03/2023 06:46:03] [ADM] Dan [501] criou um [L]Hokage Hat.
[02/03/2023 06:51:50] [ADM] Dan [501] criou um [R]Hokage Hat.
[02/03/2023 06:52:40] [ADM] Dan [501] criou um [E]Hokage Hat.
[02/03/2023 06:53:18] [ADM] Dan [501] criou um [L]Hokage Hat.
[02/03/2023 06:54:11] [ADM] Dan [501] criou um [R]Hokage Hat.
[02/03/2023 06:55:06] [ADM] Dan [501] criou um [E]Hokage Hat.
[02/03/2023 06:55:20] [ADM] Dan [501] criou um [L]Hokage Hat.
[02/03/2023 06:55:36] [ADM] Dan [501] criou um [R]Hokage Hat.
[02/03/2023 06:57:23] [ADM] Dan [501] criou um [E]Hokage Hat.
[02/03/2023 06:57:46] [ADM] Dan [501] criou um [L]Hokage Hat.
[02/03/2023 06:58:30] [ADM] Dan [501] criou um [R]Hokage Hat.
[02/03/2023 07:04:24] [ADM] Dan [501] criou um [E]Hokage Hat.
[02/03/2023 07:25:56] [ADM] Dan [501] criou um [R]Hokage Hat.
[02/03/2023 08:31:37] [ADM] Dan [501] criou um [L]Uchiha ForeHead.
[02/03/2023 08:35:17] [ADM] Dan [501] criou um [R]Uchiha ForeHead.
[02/03/2023 08:37:01] [ADM] Dan [501] criou um [E]Uchiha ForeHead.
[04/03/2023 02:47:47] [ADM] Dan [501] criou um [L]Uchiha Boots.
[04/03/2023 03:45:04] [ADM] Dan [469] criou um [R]Uchiha Boots.
[04/03/2023 03:45:15] [ADM] Dan [469] criou um [E]Uchiha Boots.
[04/03/2023 03:46:03] [ADM] Dan [469] criou um [R]Hokage Hat.
[04/03/2023 03:46:17] [ADM] Dan [469] criou um [E]Hokage Hat.
[06/03/2023 01:08:34] [ADM] Dan [465] criou um [R]Hokage Hat.
